order_item_id,order_id,product_id,seller_id,quantity,unit_price
1,1,408,179,3,197.0
2,1,408,179,1,197.0
3,1,3,147,1,16.24
4,2,237,177,1,227.28
5,2,224,5,3,177.47
6,2,153,8,1,30.0
7,2,94,143,1,804.76
8,3,299,32,1,700.67
9,3,247,31,1,52.77
10,4,31,163,1,38.5
11,4,218,107,1,51.67
12,5,7,94,1,291.13
13,6,52,100,1,121.85
14,6,221,125,3,33.23
15,6,68,32,1,825.62
16,7,227,127,2,97.18
17,7,8,128,1,59.01
18,8,183,13,1,23.39
19,8,354,63,1,75.52
20,8,177,40,3,1399.47
21,9,142,32,1,79.68
22,10,438,58,1,146.82
23,10,45,169,1,1334.29
24,11,194,48,1,29.27
25,12,392,36,1,111.51
26,13,100,31,1,3.52
27,14,372,69,1,18.49
28,15,342,60,2,54.51
29,16,148,64,3,117.56
30,17,69,114,1,38.02
31,17,370,151,1,11.75
32,18,113,35,1,175.57
33,19,261,86,1,99.2
34,19,273,133,1,1136.88
35,20,306,97,1,80.35
36,20,430,83,2,564.45
37,21,271,175,1,154.28
38,21,237,177,1,227.28
39,21,168,176,3,185.02
40,22,286,114,1,1061.33
41,23,273,133,1,1136.88
42,24,113,35,1,175.57
43,25,312,122,1,54.74
44,26,16,20,2,79.93
45,27,438,58,1,146.82
46,27,27,134,1,304.73
47,27,49,65,1,206.13
48,28,56,151,1,26.22
49,29,387,98,1,1498.9
50,29,163,23,1,6.13
51,30,216,14,1,23.36
52,31,375,5,1,27.88
53,32,230,50,1,73.04
54,33,28,38,1,55.67
55,34,2,97,1,70.59
56,35,335,145,1,141.19
57,35,14,18,1,174.26
58,36,286,114,1,1061.33
59,36,284,165,1,48.98
60,36,54,37,1,14.08
61,36,238,124,1,237.19
62,37,90,152,1,1248.81
63,37,399,35,1,98.73
64,37,92,47,1,50.25
65,38,276,170,1,1113.22
66,39,269,110,2,91.48
67,39,116,153,1,42.15
68,39,437,147,1,123.07
69,39,201,159,1,245.81
70,40,433,12,2,355.26
71,41,91,51,2,34.48
72,42,436,101,1,297.96
73,43,335,145,1,141.19
74,43,330,108,1,4.8
75,43,145,170,1,24.67
76,44,396,116,1,44.59
77,45,254,28,1,119.43
78,46,347,80,1,86.35
79,46,396,116,1,44.59
80,47,182,134,1,41.36
81,47,450,16,2,138.34
82,48,33,42,2,421.85
83,48,255,27,1,33.47
